Ticker,LTP,Fair Price,EPS,PE,ROE,PB,Beta,Dividend Yield,Revenue,Net Profit,Gross Profit,Net Income,Net Profit Margin,Book Value,Assets,Liabilities,Equities
GCIL,510.00,90.32,1.34,379.21,0.01,1.89,3.53,0.03,4799291.98,53417.84,1165698.69,53417.84,0.01,269.56,26458162.3,15751455.2,10706707.1
SHIVM,500.00,NaN,-4.86,-102.96,-0.02,2.44,1.73,0.03,1648836.28,-53420.12,310615.51,-53420.12,-0.03,205.05,11924310.8,2901988.4,9022322.4
NRM,396.00,NaN,-5.07,-78.06,-0.06,4.55,4.81,0.00,42509.12,-12270.07,22736.67,-12270.07,-0.29,87.12,1255540.8,412623.0,842917.8
HDL,1651.00,235.58,17.32,95.32,0.12,11.59,1.75,0.02,499020.32,105199.39,322070.45,105199.39,0.21,142.41,3889746.0,429742.8,3460003.2
NLO,0.00,1342.08,83.29,2.98,0.09,0.26,0.00,0.00,1251294.05,32280.04,382515.70,32280.04,0.03,961.18,962653.4,590112.9,372540.5
BNT,11950.00,5749.26,439.79,27.17,0.13,3.58,0.66,0.01,2475014.00,133036.00,726720.00,133036.00,0.05,3340.39,10737370.0,6695495.0,4041877.0
UNL,39301.00,16971.62,2399.57,16.38,0.48,7.37,0.19,0.00,2353000.00,552500.00,1294200.00,552500.00,0.23,5334.96,7145900.0,2232400.0,4913500.0
BNL,0.00,3959.86,216.13,28.85,0.07,1.93,0.00,0.00,3276140.00,105304.00,923525.00,105304.00,0.03,3224.47,15812413.0,9590450.0,6284142.0
