ticker,ltp,macd,rsi,mfi,cci,ma20,ma50,ma200,adx,total
GRDBL,297,-5.1339,43.0931,12.6897,-95.2471,310.545,310.42,280.557,18.0168,-4
GMFIL,334.4,-6.276,45.3474,13.0762,-75.9375,345.225,347.086,336.518,22.6829,-4
GUFL,508,-6.3087,43.8065,19.521,-91.765,527.12,530.144,530.719,19.4292,-4
HBL,200,-1.376,42.2895,31.0038,-103.152,202.795,204.974,235.6947,17.5562,-1
HDL,1892.5,-27.1614,43.2205,23.8416,-44.4212,1909.135,1962.268,2156.6488,29.6486,-1
HPPL,220,-3.3161,44.3962,21.7731,-120.0624,228.075,230.326,275.5375,19.9968,-2
ICFC,456,-5.0088,42.9479,19.9105,-90.0738,468.29,469.002,455.4142,13.3147,-5
HIDCL,163,-1.9776,43.0423,30.079,-84.7976,166.41,168.79,185.8279,12.9002,-2
JFL,355,-1.7171,51.0915,46.1478,-8.5653,352.785,356.544,380.742,14.3114,0
JSLBB,880,-16.4082,47.1113,24.4011,-56.0229,886.78,920.628,1045.5957,10.6169,-3
JBBL,291,-3.8338,46.3907,23.9005,-88.3262,297.39,303.828,288.3013,18.1739,-2
KMCDB,617.6,-2.8086,47.4947,39.9398,-30.7766,626.13,626.942,681.143,18.659,0
KSBBL,298,-4.6225,39.7526,29.8673,-93.0619,309.185,311.584,311.1881,19.277,-2
KRBL,261.9,-4.2334,43.9127,23.4271,-95.2706,270.79,273.222,275.577,24.065,-2
KKHC,168,-2.1974,42.9612,49.0876,-120.471,179.175,176.872,214.647,16.4721,-1
KBL,156,-0.8876,44.1315,40.3445,-117.8762,158.195,158.952,170.8215,17.071,-1
LSL,181.4,-0.6425,46.0468,45.5233,-79.1713,184.5,181.74,188.426,14.4937,-2
LLBS,700,-5.2095,52.6793,37.9617,-7.9685,691.285,694.8,787.2571,15.4413,0
LICN,1331.9,-25.525,40.2121,31.2041,-55.7576,1358.63,1405.426,1429.4565,24.9058,-1
LBBL,375.9,-5.513,41.983,22.8257,-96.9268,387.31,392.344,364.8854,14.2086,-4
MBL,204,-6.4354,33.1714,35.3278,-90.7598,211.522,226.988,210.4421,36.7369,-1
MLBL,305,-3.9956,45.8907,25.1079,-68.1815,310.915,313.58,319.9343,13.4874,-2
MSLB,727,-14.3065,37.8248,47.6577,-128.4133,771.865,776.458,823.706,15.924,-2
MFIL,510,-3.25,46.9625,42.1336,-72.6449,514.51,517.324,476.047,10.3173,-2
MERO,534.7,-7.0913,49.6209,26.3108,-43.495,536.105,543.872,603.6321,14.2115,-3
MMFDB,579,-10.0887,36.1994,49.4236,-117.5556,606.955,617.03,664.2152,14.7467,-3
MDB,402,-1.5288,48.8626,31.9842,-74.7077,405.915,402.75,386.862,13.0671,-2
MLBBL,747,-14.384,48.5333,48.4289,-9.4096,745.04,782.764,836.4837,20.4477,-1
MNBBL,383.2,-3.9329,47.9049,26.9478,-38.8004,384.795,390.87,397.73,19.2788,-1
MPFL,280.5,-4.5877,41.6788,23.0605,-81.0758,291.085,295.042,267.7795,14.7171,-3
NABIL,580,-2.5778,47.6249,29.7138,-41.9376,581.015,587.804,619.5834,13.0217,-2
NHPC,133,-3.92,37.6524,23.3261,-165.0331,147.435,147.884,177.3332,21.6213,-2
NLICL,540,-12.9019,39.2977,37.2762,-69.9568,554.395,576.388,568.9597,32.5749,0
NMFBS,989.1,-31.9254,30.3119,31.9709,-150.2777,1066.16,1123.988,1419.4534,16.4735,-2
IGI,477,-8.5348,44.8321,29.753,-80.9055,487.975,497.666,459.936,19.1389,-3
NIL,815,-11.1563,40.3523,21.6237,-63.0278,831.275,846.452,796.8415,18.8522,-2
NBL,248.9,-0.6148,50.2026,28.0685,-19.4863,248.34,250.208,257.7942,14.4284,-1
NTC,847.7,-5.4178,49.0962,49.6564,-26.9067,847.6,859.36,845.2318,12.0833,-2
GBLBS,485,-7.1594,43.8432,27.4505,-63.7016,495.825,505.012,532.452,14.0366,-3
