Ticker,LTP,Fair Price,EPS,PE,ROE,PB,Beta,Dividend Yield,Revenue,Net Profit,Gross Profit,Net Income,Net Profit Margin,Book Value,Assets,Liabilities,Equities
DOLTI,340.00,87.55,4.33,78.45,0.06,4.33,2.57,0.00,41743.05,5812.87,40783.85,5812.87,0.14,78.60,1175195.0,753541.2,421653.8
BNHC,409.00,NaN,-4.79,-85.38,-0.05,4.71,0.98,0.00,49219.89,-4949.44,47107.69,-4949.44,-0.10,86.89,1436804.0,1077687.0,359117.0
AKPL,206.00,NaN,-31.25,-6.59,-0.32,2.22,0.85,0.05,653294.18,-159414.18,-3875.23,-159414.18,0.00,92.98,7114743.6,5217372.0,1897371.7
RADHI,269.00,145.65,7.78,34.60,0.06,2.22,0.98,0.02,31767.88,32577.92,26201.14,32577.92,1.03,121.26,2182980.6,150633.8,2032346.9
HURJA,294.00,166.81,12.80,22.96,0.13,3.04,1.60,0.00,131280.33,31688.14,129949.90,31688.14,0.24,96.59,3909844.5,2973627.9,956216.6
API,208.70,NaN,-2.83,-73.83,-0.03,2.04,0.94,0.04,261617.78,-40049.24,220133.31,-40049.24,-0.15,102.45,11854285.4,6048327.6,5805957.8
MEL,230.00,NaN,-15.58,-14.76,-0.21,3.21,2.82,0.00,65534.00,-112967.00,54197.00,-112967.00,-1.72,71.55,5946713.0,3871775.0,2074937.0
MKHL,350.00,134.91,7.93,44.14,0.08,3.43,1.69,0.00,28104.94,7774.52,25830.58,7774.52,0.28,102.00,776241.5,376226.1,400015.5
UPCL,226.40,168.21,10.93,20.72,0.10,1.97,1.16,0.00,120114.02,57366.32,112008.82,57366.32,0.48,115.11,3960011.1,1542398.7,2417612.4
CHCL,494.00,194.97,11.39,43.37,0.08,3.33,0.94,0.03,342821.37,206669.61,269771.48,206669.61,0.60,148.34,11207974.3,441453.0,10766521.3
NHDL,440.00,225.59,19.09,23.05,0.17,3.71,1.35,0.02,36154.00,16032.00,31787.00,16032.00,0.44,118.49,540014.0,141987.0,398025.0
NGPL,346.00,113.98,5.28,65.51,0.05,3.17,1.10,0.01,48269.50,24444.95,45326.82,24444.95,0.51,109.32,2634422.6,610626.2,2023796.5
SMHL,450.00,222.12,20.37,22.09,0.19,4.18,1.38,0.00,432715.20,106937.44,419669.13,106937.44,0.25,107.66,9374365.3,7113574.5,2260790.8
MEHL,294.30,NaN,-2.39,-123.25,0.00,3.77,0.00,0.00,35356.04,-4775.82,32509.41,-4775.82,-0.14,78.05,1438755.0,814322.6,624432.4
SGHC,322.00,111.34,6.55,49.18,0.08,3.83,1.82,0.00,258700.09,26073.55,240912.52,26073.55,0.10,84.15,6674120.0,5333549.2,1340570.9
MCHL,314.00,NaN,-25.33,-12.40,-0.30,3.42,2.06,0.00,13972.89,-34360.11,-2752.87,-34360.11,-3.14,91.79,1550711.6,1052666.4,498045.2
UMRH,382.00,207.89,17.40,21.95,0.16,3.46,1.21,0.03,54496.37,18274.42,50162.35,18274.42,0.34,110.36,1440111.3,976600.7,463510.6
SPC,586.10,230.03,20.17,29.05,0.18,5.03,1.19,0.00,99615.12,25216.88,94210.67,25216.88,0.25,116.57,2269363.2,1686493.4,582869.8
SIKLES,499.90,278.14,30.08,16.62,0.27,4.37,1.22,0.01,127478.69,63910.50,121862.68,63910.50,0.50,114.32,2358158.9,1386445.2,971713.8
UNHPL,221.00,110.89,5.61,39.41,0.06,2.27,1.48,0.00,25887.96,10514.25,25120.63,10514.25,0.41,97.47,816029.5,85029.1,731000.4
TPC,565.00,205.24,26.63,21.21,0.40,8.04,1.24,0.00,70046.65,26634.03,55291.44,26634.03,0.38,70.29,1284870.8,1003698.2,281172.6
NYADI,284.60,NaN,-9.00,-31.64,-0.12,3.94,1.56,0.00,130851.00,-33735.00,69958.00,-33735.00,-0.26,72.27,6064458.0,4980341.0,1084119.0
CHL,290.90,NaN,-8.14,-35.74,-0.09,3.24,1.20,0.00,22913.30,-7875.01,18532.27,-7875.01,-0.34,89.73,1290654.9,943418.5,347236.4
PPL,322.00,120.81,6.68,48.21,0.07,3.32,1.66,0.00,34886.79,10563.90,30650.58,10563.90,0.30,97.12,993699.3,379346.0,614353.3
SHPC,350.80,343.20,31.89,11.00,0.19,2.14,1.20,0.03,329879.17,246271.65,306998.30,246271.65,0.75,164.17,6555230.7,1483745.3,5071485.4
BHPL,476.00,66.01,3.26,145.95,0.06,8.02,0.05,0.00,13126.32,2038.40,12111.62,2038.40,0.16,59.38,378223.9,229783.4,148440.6
MANDU,701.00,350.82,37.33,18.78,0.29,4.78,0.00,0.00,251076.21,127246.18,241027.52,127246.18,0.51,146.55,4242568.6,2244184.4,1998384.2
SPL,699.00,NaN,-6.82,-102.43,-0.07,7.74,1.35,0.00,23779.33,-3412.20,-730.93,-3412.20,0.09,90.34,217169.6,36488.2,180681.5
KPCL,433.30,224.45,19.43,22.31,0.17,3.76,1.39,0.02,67715.26,38536.37,60492.83,38536.37,0.57,115.26,1135918.6,221323.2,914595.4
GVL,450.00,278.45,30.04,14.98,0.27,3.92,1.59,0.00,547190.42,234658.43,394733.02,234658.43,0.43,114.73,11639631.2,8054448.6,3585182.6
SPDL,264.00,150.24,9.26,28.51,0.10,2.44,1.18,0.00,77740.97,26706.99,73376.62,26706.99,0.34,108.33,1711380.3,461794.7,1249585.7
KBSH,864.00,239.00,16.61,52.03,0.11,5.65,0.84,0.00,11019.90,5059.43,9517.53,5059.43,0.46,152.87,247621.9,61319.4,186302.5
UHEWA,346.00,NaN,-25.20,-13.73,-0.26,3.74,0.06,0.00,177576.42,-31494.72,172304.47,-31494.72,0.01,92.44,1448659.4,986471.5,462187.8
USHL,509.90,NaN,-25.46,-20.03,-0.41,8.59,2.26,0.00,15099.80,-14001.22,13652.48,-14001.22,-0.93,59.35,523349.1,392786.9,130562.2
AKJCL,227.90,78.01,3.81,59.84,0.05,3.21,1.28,0.00,107601.39,15235.17,91891.86,15235.17,0.14,71.02,1895062.9,1326905.9,568157.0
MKHC,275.00,NaN,-20.08,-13.70,-0.22,3.14,1.27,0.00,56700.00,-50193.00,56700.00,-50193.00,-0.89,87.67,3364525.0,2487871.0,876654.0
MHNL,286.00,86.79,5.09,56.14,0.08,4.35,1.47,0.00,152893.95,15918.97,149811.31,15918.97,0.10,65.72,4473927.4,3652489.7,821437.7
USHEC,342.00,214.74,20.72,16.51,0.21,3.46,1.71,0.00,253355.23,69919.37,228342.57,69919.37,0.28,98.93,5026968.4,3691410.7,1335557.8
PMHPL,256.00,216.86,23.49,10.90,0.27,2.88,1.11,0.00,163543.49,64610.72,157802.35,64610.72,0.40,88.97,2849678.1,1871053.2,978624.8
HPPL,283.00,NaN,-35.30,-8.02,-0.37,3.11,1.32,0.00,99612.05,-94015.62,89271.20,-94015.62,-0.94,91.09,5406810.7,4436336.5,970474.2
MAKAR,376.00,165.47,12.51,30.04,0.13,3.87,2.00,0.00,133406.10,23778.17,66033.85,23778.17,0.18,97.24,2651677.4,1912671.1,739006.4
MHL,427.00,200.59,16.29,26.21,0.15,3.89,1.05,0.01,43654.60,23952.72,38591.73,23952.72,0.55,109.76,983317.0,337890.7,645426.2
SAHAS,553.90,390.02,39.41,14.06,0.24,3.23,1.22,0.00,893348.47,344808.57,859308.25,344808.57,0.39,171.56,17278213.2,11273632.4,6004580.8
DORDI,400.00,153.41,10.17,39.34,0.10,3.89,1.84,0.00,111768.32,26799.41,103138.32,26799.41,0.24,102.87,3277588.3,2193028.2,1084560.1
RIDI,292.00,NaN,-12.27,-23.80,-0.12,2.85,1.10,0.14,40267.50,-47508.70,33580.67,-47508.70,-1.18,102.38,3441394.2,1855593.6,1585800.6
DHPL,219.90,NaN,-0.75,-293.20,-0.51,120.37,1.12,0.00,33193.00,-495.00,29049.00,-495.00,-0.01,1.83,794753.0,789930.0,4823.0
LEC,220.00,NaN,-31.52,-6.98,-0.44,3.25,1.16,0.00,101498.85,-118190.16,86899.88,-118190.16,-1.16,67.59,6248811.1,5234971.0,1013840.1
GHL,187.00,NaN,-22.79,-8.21,-0.31,2.66,0.59,0.00,20377.75,-31334.47,20377.75,-31334.47,-1.54,70.21,1436137.7,1049970.5,386167.1
MSHL,756.90,45.33,0.91,829.40,0.00,7.56,0.00,0.00,57352.21,1707.45,52482.94,1707.45,0.03,100.06,2204253.0,1455416.3,748836.8
SMH,584.00,311.96,36.22,16.12,0.31,4.89,0.46,0.00,87092.88,45279.55,80973.12,45279.55,0.52,119.41,1452845.8,855805.1,597040.6
UPPER,218.00,185.92,25.20,8.65,0.60,3.58,1.03,0.00,3715847.76,1007258.72,3595930.80,1007258.72,0.27,60.97,87773939.3,78024075.7,9749863.7
SHEL,246.00,172.07,14.58,16.88,0.16,2.72,1.44,0.00,264326.83,52835.08,258440.24,52835.08,0.20,90.29,5948837.7,4639678.9,1309158.8
MKJC,463.00,185.56,14.43,32.10,0.14,4.36,0.70,0.00,37374.95,13276.84,34070.85,13276.84,0.36,106.08,843762.7,453224.5,390538.1
SMJC,353.90,218.92,19.37,18.27,0.18,3.22,1.46,0.00,107758.30,54227.34,101604.39,54227.34,0.50,109.98,2362673.1,1130856.0,1231817.0
BPCL,314.90,205.04,8.82,35.72,0.04,1.49,0.82,0.02,210530.00,75138.00,107124.00,75138.00,0.36,211.93,7661846.0,436921.0,7224925.0
RAWA,450.00,NaN,-0.12,-3775.30,0.00,56.74,1.54,0.00,14707.91,-834.37,12839.04,-834.37,-0.06,7.93,716454.7,494376.7,222078.0
KKHC,238.00,176.33,15.47,15.39,0.18,2.66,1.19,0.00,64842.34,18010.66,64842.34,18010.66,0.28,89.33,1387836.1,971796.5,416039.6
SPHL,469.00,181.40,15.74,29.79,0.17,5.05,0.29,0.00,28346.71,11806.83,25528.96,11806.83,0.42,92.91,569757.2,291041.8,278715.4
TSHL,558.50,265.80,34.87,16.02,0.41,6.20,2.31,0.00,61964.37,42934.65,60200.36,42934.65,0.69,90.05,1466691.3,1023209.0,443482.3
RURU,716.10,305.01,29.53,24.25,0.22,5.11,1.02,0.01,53022.30,36414.92,41052.44,36414.92,0.69,140.04,835003.3,144159.0,690844.3
AHL,438.00,NaN,-0.27,-1593.69,-0.00,3.89,0.85,0.00,47824.68,-233.61,43182.95,-233.61,-0.00,112.56,1390676.4,1007964.5,382711.8
UMHL,282.00,123.57,6.48,43.51,0.06,2.69,1.18,0.03,93223.00,19937.00,87456.00,19937.00,0.21,104.71,2228000.0,939525.0,1288474.0
BHL,304.00,NaN,-17.88,-17.01,-0.21,3.99,-0.20,0.00,255295.15,-81696.40,203769.39,-81696.40,-0.32,76.16,8768747.3,7376480.1,1392267.2
BHDC,460.00,251.13,23.44,19.62,0.20,3.85,1.06,0.01,146892.38,61539.91,143569.53,61539.91,0.42,119.56,3109453.0,1854036.5,1255416.5
